scope,neuron,group,kind,n_epochs,peak_dFF,peak_time_s,sem_at_peak,snr
all_animals,ASEL,10mM CuSO4,stimulus,24,0.1437,1.87,0.089,1.61
all_animals,ASEL,800mM Sorbitol,stimulus,24,0.2688,2.62,0.0702,3.83
all_animals,ASEL,Control,stimulus,24,0.0861,3.37,0.0447,1.93
all_animals,ASEL,Fluorescein,stimulus,24,0.1191,3.37,0.0357,3.33
all_animals,ASER,attractant,class,96,0.2948,14.99,0.0767,3.84
all_animals,ASER,repellent,class,96,0.5804,5.25,0.1133,5.12
all_animals,ASER,control,class,48,0.2815,5.25,0.104,2.71
all_animals,ASER,100mM NaCl,stimulus,24,0.161,4.87,0.1082,1.49
all_animals,ASER,e-2 IAA,stimulus,24,0.3571,11.25,0.1945,1.84
all_animals,ASER,e-6 IAA,stimulus,24,0.2797,7.5,0.1388,2.02
all_animals,ASER,OP50,stimulus,24,0.5534,14.99,0.2161,2.56
all_animals,ASER,450mM NaCl,stimulus,24,0.6371,3.75,0.2796,2.28
all_animals,ASER,1uM ascr#3,stimulus,24,0.8895,5.25,0.2131,4.17
all_animals,ASER,10mM CuSO4,stimulus,24,0.814,5.25,0.2933,2.78
all_animals,ASER,800mM Sorbitol,stimulus,24,0.0755,0.0,0.0276,2.73
all_animals,ASER,Control,stimulus,24,0.3434,3.37,0.1589,2.16
all_animals,ASER,Fluorescein,stimulus,24,0.3171,13.5,0.1485,2.13
all_animals,AWAL,attractant,class,96,0.9243,6.37,0.1339,6.9
all_animals,AWAL,repellent,class,96,0.1989,6.37,0.0724,2.75
all_animals,AWAL,control,class,48,0.1138,6.0,0.0536,2.12
all_animals,AWAL,100mM NaCl,stimulus,24,-0.0888,11.62,0.0528,1.68
all_animals,AWAL,e-2 IAA,stimulus,24,1.8581,4.12,0.2472,7.52
all_animals,AWAL,e-6 IAA,stimulus,24,0.1064,7.5,0.0661,1.61
all_animals,AWAL,OP50,stimulus,24,1.9874,6.37,0.2646,7.51
all_animals,AWAL,450mM NaCl,stimulus,24,0.373,3.0,0.3186,1.17
all_animals,AWAL,1uM ascr#3,stimulus,24,-0.1072,11.62,0.0598,1.79
all_animals,AWAL,10mM CuSO4,stimulus,24,0.172,12.37,0.0668,2.58
all_animals,AWAL,800mM Sorbitol,stimulus,24,0.4619,5.62,0.09,5.13
all_animals,AWAL,Control,stimulus,24,-0.0927,11.25,0.0588,1.58
all_animals,AWAL,Fluorescein,stimulus,24,0.2825,6.0,0.0872,3.24
all_animals,AWCL,attractant,class,96,-0.1918,11.62,0.0247,7.77
all_animals,AWCL,repellent,class,96,-0.1539,9.0,0.024,6.41
all_animals,AWCL,control,class,48,-0.2321,14.25,0.0296,7.84
all_animals,AWCL,100mM NaCl,stimulus,24,-0.187,9.37,0.0557,3.36
all_animals,AWCL,e-2 IAA,stimulus,24,-0.2017,4.5,0.0365,5.53
all_animals,AWCL,e-6 IAA,stimulus,24,-0.2065,5.62,0.0392,5.27
all_animals,AWCL,OP50,stimulus,24,-0.2252,7.87,0.0448,5.03
all_animals,AWCL,450mM NaCl,stimulus,24,-0.106,5.62,0.0413,2.57
all_animals,AWCL,1uM ascr#3,stimulus,24,-0.1952,12.37,0.0491,3.97
all_animals,AWCL,10mM CuSO4,stimulus,24,-0.242,13.87,0.0391,6.19
all_animals,AWCL,800mM Sorbitol,stimulus,24,-0.1847,9.0,0.0534,3.46
all_animals,AWCL,Control,stimulus,24,-0.2256,14.25,0.0416,5.43
all_animals,AWCL,Fluorescein,stimulus,24,-0.2386,14.25,0.043,5.55
