lag_s,AIBL,AVEL,AVAL,RIML,ASEL,ASER,AWAL,AWCL
-10.496485237999599,0.04072081163425628,0.010300796259671664,0.010745016529680672,0.0157087321589625,-0.01336039390362524,-0.014163320522754565,-0.0033191079335173315,0.028227775314700373
-10.1216107652139,0.04076658767676522,0.01070563287953144,0.011382603337429414,0.01596291319536673,-0.010154509912032317,-0.009419350491315174,0.0013270089726293366,0.027029591142463748
-9.7467362924282,0.04073825645495039,0.011081094106271026,0.011989760843709663,0.01645346801056335,-0.00687766033469806,-0.004298371867489815,0.006405722130126832,0.025459027444310074
-9.371861819642499,0.04031580065330528,0.011512927889560834,0.012540358439455324,0.016540645905626428,-0.0034014486852891462,0.0009758132948891524,0.011098555606946716,0.02372158671594822
-8.996987346856798,0.040010632164034755,0.01171215647460102,0.012992624260939802,0.01663728306296807,-0.00022450787781783674,0.005940876487228687,0.016384743164972206,0.02157726379387638
-8.6221128740711,0.039356800398876825,0.011981875725674692,0.013485065246811371,0.016788730054302252,0.002790153672234642,0.010714778314610474,0.021473174488514928,0.01910800369497058
-8.247238401285399,0.038717603667683245,0.012144303898806798,0.013941511932202676,0.016796528963397558,0.005957167081997117,0.01563794914979375,0.026715886087251887,0.016412735389944325
-7.872363928499699,0.0380051979164322,0.012240534208362484,0.014254957202324925,0.0165332701838961,0.008926642835259716,0.02044592682927298,0.032247796298635015,0.013518490727674661
-7.497489455713999,0.03716497321763435,0.012326121064361643,0.014573766050264184,0.01627697026148246,0.012042431190812764,0.024815266751242418,0.03689210015814308,0.0109552641876836
-7.122614982928299,0.03633375614195567,0.012511859045840366,0.014851005766518776,0.01598158888964482,0.015297206355193728,0.029312166743496376,0.0418604793194235,0.008176007410188823
-6.7477405101426,0.03517578237787836,0.012628193033373864,0.015088850771224604,0.01564331246899109,0.018304983369825435,0.033275521966487843,0.04575948545156662,0.00528748540661629
-6.372866037356899,0.033994826380391106,0.012781603133566369,0.015182596934707299,0.015017906667651829,0.02153420249432134,0.03742243848121201,0.04977794891625877,0.0022825285398778653
-5.997991564571199,0.03287527188111933,0.012661069651360095,0.015269843604879789,0.014456846120471815,0.02436385182676867,0.041454688784399854,0.053636150042920855,-0.0011644634929864725
-5.6231170917855,0.031618620607759225,0.012586333335736803,0.015238071803031002,0.014073677530812026,0.027629456258050154,0.04521187411607605,0.05782766204627147,-0.004361487332473315
-5.248242618999799,0.030424747574798933,0.012478784321140702,0.015026831823554613,0.013622293120141099,0.03058511791849181,0.04920134688340225,0.061844732453860615,-0.0077765462668871795
-4.8733681462141,0.02874898073165161,0.012327536972883251,0.014758288833095656,0.01313175323976363,0.03357120424699283,0.053187304357228585,0.06570020258551328,-0.011291028553259594
-4.498493673428399,0.027027590494914183,0.012102220697648193,0.014348456073985518,0.012387426604241907,0.035952914139180725,0.05724025451273135,0.06865983621147055,-0.0148196760495824
-4.1236192006426995,0.025388279842915872,0.011961360981660257,0.013832527148856777,0.011327830984450015,0.03829372162456082,0.061060484534719316,0.07195310058651364,-0.018430720814276255
